Concussive_Shells 50 50 60 Barracks_Tech_Lab  Barracks_Tech_Lab
Strike_Cannons 150 150 110 Factory_Tech_Lab Armory
Moebius_Reactor 100 100 80 Ghost_Academy  Ghost_Academy
Personal_Cloaking 150 150 120 Ghost_Academy  Ghost_Academy
Nuke 100 100 60 Ghost_Academy Ghost_Academy
Behemoth_Reactor 150 150 80 Fusion_Core  Fusion_Core
Weapon_Refit 150 150 60 Fusion_Core  Fusion_Core
Terran_Vehicle_Weapons_1 100 100 160 Armory  Armory
Terran_Vehicle_Weapons_2 175 175 190 Armory Armory
Terran_Vehicle_Weapons_3 100 250 250 Armory Armory
Terran_Vehicle_Plating_1 100 100 160 Armory Armory
Terran_Vehicle_Plating_2 175 175 190 Armory Armory
Terran_Vehicle_Plating_3 250 250 250 Armory Armory
Terran_Ship_Weapons_1 100 100 160 Armory Armory
Terran_Ship_Weapons_2 175 175 190 Armory Armory
Terran_Ship_Weapons_3 250 250 250 Armory Armory
Terran_Ship_Plating_1 150 150 160 Armory Armory
Terran_Ship_Plating_2 225 225 190 Armory Armory
Terran_Ship_Plating_3 300 300 220 Armory Armory
Blink	150	150	140     Twilight_Council Twilight_Council
Charge	200	200	140	Twilight_Council Twilight_Council	 
Extended_Thermal_Lance	200	200	140 Robotics_Bay Robotics_Bay
Gravitic_Boosters	100	100	80  Robotics_Bay Robotics_Bay	 	 
Gravitic_Drive	100	100	80	    Robotics_Bay Robotics_Bay 
Graviton_Catapult	150	150	80  Fleet_Beacon Fleet_Beacon
Hallucination	100	100	80	Cybernetics_Core Cybernetics_Core 
Protoss_Air_Armor_1	150	150	160     Cybernetics_Core Cybernetics_Core 
Protoss_Air_Armor_2     225	225	190	Cybernetics_Core Fleet_Beacon
Protoss_Air_Armor_3	300	300	220  	Cybernetics_Core Fleet_Beacon	
Protoss_Air_Weapons_1	100	100	160	Cybernetics_Core Cybernetics_Core
Protoss_Air_Weapons_2	175	175	190	Cybernetics_Core Fleet_Beacon
Protoss_Air_Weapons_3	250	250	220	Cybernetics_Core Fleet_Beacon
Protoss_Ground_Armor_1	100	100	160	Forge Forge
Protoss_Ground_Armor_2	175	175	190	Forge Twilight_Council
Protoss_Ground_Armor_3	250	250	220	Forge Twilight_Council	
Protoss_Ground_Weapons_1 100	100	160	Forge Forge
Protoss_Ground_Weapons_2 175	175	190	Forge Twilight_Council	
Protoss_Ground_Weapons_3 250	250	220	Forge Twilight_Council	
Protoss_Shields_1	200	200	160	Forge Forge
Protoss_Shields_2	300	300	190	Forge Twilight_Council	
Protoss_Shields_3	400	400	220	Forge Twilight_Council	
Psionic_Storm	200	200	110	Templar_Archives Templar_Archives 	 
Warp_Gate	50	50	160	Cybernetics_Core Cybernetics_Core
